card_number,cvv,expiry,ssn,drivers_license,passport,bank_account,routing_number,iban,patient_id,diagnosis_code,medication_id
4111-9822-8104-9025,509,06/24,961-66-5675,D9465697,P1600560,13331298,507632132,DE60488583782384964106,PT432229,ICD10-F35.1,MED313
4111-6957-4576-3685,677,05/25,384-17-1034,D8294789,P5290737,92382060,862121110,DE51369429542454569841,PT702256,ICD10-F40.9,MED370
4111-8149-4879-6005,517,12/24,230-17-4304,D7811765,P8590227,32577617,396903327,DE48057567937215875100,PT852919,ICD10-F76.7,MED191
4111-8374-4032-9855,406,06/30,878-14-1551,D1166287,P6697545,92306639,666091211,DE62251114888795382999,PT711715,ICD10-F99.8,MED836
4111-5550-7110-5588,508,10/30,243-66-4274,D9265027,P6232516,69998590,529037426,DE20139366046775043220,PT160637,ICD10-F84.5,MED343
4111-2243-7910-2229,943,06/24,784-37-8124,D8216019,P6305108,56674134,736704740,DE95412398210280741098,PT782368,ICD10-F80.1,MED215
4111-4344-5008-9588,872,06/30,866-33-6156,D8263930,P2096574,50869882,441636949,DE57968763815463768608,PT473084,ICD10-F47.4,MED484
4111-9043-3180-5987,762,09/30,988-41-6291,D9209825,P5767313,46578631,801616889,DE67093290855928276104,PT825884,ICD10-F55.4,MED260
4111-1267-4548-1100,999,07/24,699-57-4312,D1625607,P3074583,73385353,907017554,DE81848484895612569562,PT184241,ICD10-F45.2,MED801
4111-5659-2179-3482,309,01/30,395-61-6177,D2957960,P5775353,77329515,131471192,DE32192488370770152045,PT784390,ICD10-F16.1,MED165
4111-6692-2384-3410,636,06/30,288-55-1618,D6749721,P8810494,62353219,663755613,DE69575200263184308106,PT266259,ICD10-F37.5,MED495
4111-3282-1102-3860,530,10/29,928-67-2900,D5661662,P1880279,78502672,554058686,DE90092794180556155462,PT479351,ICD10-F38.5,MED733
4111-4213-2277-1229,348,08/24,141-28-6358,D3804633,P8199735,70051695,624934702,DE46083246409561047414,PT990823,ICD10-F49.1,MED253
4111-2147-5077-3085,527,12/27,443-35-3592,D8163626,P6368184,80865131,218785853,DE70192876005787462701,PT136708,ICD10-F42.1,MED888
4111-2102-4551-9259,368,01/29,885-41-9859,D6846400,P7960959,21633678,519331497,DE88097654183325129581,PT630414,ICD10-F94.1,MED474
4111-9331-1873-3441,720,05/27,409-72-9217,D2429610,P5781027,19029297,850841093,DE51579764363737497379,PT519140,ICD10-F67.8,MED544
4111-5923-9551-1899,198,09/29,865-79-2671,D3840068,P8750712,68206442,838085407,DE19969092387966492873,PT495208,ICD10-F14.8,MED656
4111-3240-4745-5657,950,01/28,219-93-8159,D2460992,P4785023,49172090,476739840,DE39200356341078783466,PT224228,ICD10-F75.3,MED226
4111-2494-8020-6211,789,10/26,147-13-9382,D1507306,P6653465,30183100,872710014,DE82343203225769326211,PT489336,ICD10-F21.3,MED377
4111-3006-6812-5004,774,03/28,626-46-5452,D9474147,P6464956,18588103,891188814,DE87026515076791375430,PT518867,ICD10-F22.4,MED127
4111-9166-3322-1271,245,02/30,282-73-4074,D1269892,P1172836,24553170,145352996,DE56429545269935284456,PT559016,ICD10-F72.7,MED589
4111-5876-8660-8710,431,10/27,476-51-8371,D9997222,P1033406,29230841,840359871,DE73700254032653472631,PT278119,ICD10-F33.4,MED375
4111-5775-7746-1916,348,05/27,917-95-4403,D9251855,P8464150,74861062,940782150,DE56208699334741458682,PT270892,ICD10-F39.1,MED501
4111-2446-4732-2707,299,05/28,577-91-4406,D4896761,P5073274,87310630,363200232,DE86922373579352362333,PT204753,ICD10-F68.9,MED277
4111-6601-7914-7760,406,04/29,409-38-4193,D3119786,P8723757,69922486,210663869,DE29651007573657231730,PT789896,ICD10-F22.7,MED378
4111-2779-4033-8734,855,03/28,390-64-7767,D5764918,P5715685,36673371,347677661,DE78999294896322655440,PT381042,ICD10-F91.3,MED259
4111-4670-2434-2564,672,02/28,602-15-7048,D9774607,P6910325,79420493,284436733,DE66844826628128545980,PT498712,ICD10-F76.6,MED284
4111-8519-7170-4532,937,06/28,644-20-8707,D5077263,P5366587,42394247,338859339,DE73434567451701837452,PT237194,ICD10-F73.3,MED908
4111-9392-2035-3504,301,09/27,382-73-2649,D9651365,P5474011,92946945,458518518,DE64650745807200734544,PT661558,ICD10-F94.2,MED311
4111-4596-5056-1159,215,04/27,144-91-9104,D1617763,P3291466,95334526,286547471,DE46081396407597884628,PT941074,ICD10-F55.7,MED271
4111-1144-9469-9959,380,11/30,870-42-6363,D3549360,P6655681,88913863,224977596,DE66402056145828142029,PT927599,ICD10-F42.1,MED603
4111-2864-4694-4085,308,09/25,973-61-4480,D9390401,P5026516,64163058,237126737,DE22086717312853747607,PT849923,ICD10-F49.7,MED152
4111-2603-6749-1310,640,06/25,531-37-9965,D7908614,P3717340,89952910,856398598,DE37478922404767102567,PT847143,ICD10-F22.9,MED563
4111-7508-2498-3591,188,02/26,592-93-1847,D1475199,P3459221,21994123,405292639,DE60972975681717664882,PT973891,ICD10-F80.2,MED531
4111-2935-5746-2418,858,08/29,255-71-8915,D7364475,P7215878,62684385,730771032,DE32886888387451246823,PT373903,ICD10-F30.5,MED975
4111-4099-3297-8226,460,10/24,273-82-1770,D9665596,P6302367,62938400,387388589,DE52431635553184557610,PT830324,ICD10-F94.8,MED415
4111-9213-3434-4234,418,06/24,510-26-5599,D7510539,P2430378,67062780,951756729,DE88720891878485828352,PT812343,ICD10-F56.9,MED628
4111-1039-6021-4099,491,11/30,719-62-5606,D8803253,P4131531,69257298,471908052,DE64299613770471529779,PT483370,ICD10-F92.8,MED510
4111-7091-3228-1162,530,03/27,383-38-9816,D7556348,P2027612,59608979,129488580,DE42596046524494515540,PT396764,ICD10-F67.7,MED122
4111-2940-9218-6170,859,12/26,450-10-2467,D8267624,P4224076,53934460,867066411,DE13537609773635993201,PT575987,ICD10-F56.5,MED459
4111-5455-2333-8753,276,11/27,522-12-2928,D4867316,P9863460,53560130,549117195,DE90398333046404692727,PT554065,ICD10-F55.9,MED825
4111-8787-5872-3424,759,02/27,238-50-8098,D3774827,P4099276,98827236,165014954,DE67740951085355344849,PT313561,ICD10-F89.7,MED344
4111-3747-3891-1310,992,10/27,582-27-1325,D5119584,P2817134,49598010,204915699,DE57359169065933439925,PT914077,ICD10-F23.5,MED208
