card_number,cvv,expiry,ssn,drivers_license,passport,bank_account,routing_number,iban,patient_id,diagnosis_code,medication_id
4111-2998-8461-1554,779,08/25,270-89-7505,D6439265,P1601254,85600944,749036391,DE655872052155327333,PT367695,ICD10-F44.2,MED646
4111-7393-4897-6843,371,08/27,395-53-3014,D4944898,P2598972,11825350,449019846,DE309048457065145031,PT424484,ICD10-F60.0,MED266
4111-2102-4551-9259,387,03/25,165-13-5419,D5329210,P3780502,28127158,995093533,DE229140031633068601,PT535457,ICD10-F90.8,MED944
4111-9547-7784-8815,594,03/25,869-84-7938,D4875486,P5378332,96358496,999976991,DE674392328452330985,PT263200,ICD10-F29.1,MED465
4111-5897-8330-6807,538,02/33,855-18-4079,D6348086,P7517795,63779668,665055269,DE606478779757202896,PT240669,ICD10-F13.3,MED191
4111-9166-3322-1271,544,11/25,590-63-1805,D5124850,P6078047,23428568,153525049,DE213496261445742956,PT989502,ICD10-F32.2,MED481
4111-3751-6176-5355,118,03/34,974-47-5547,D3666289,P5451721,28107320,819459506,DE685162962989681335,PT325327,ICD10-F58.6,MED185
4111-7539-7584-7215,715,11/34,468-69-9548,D1314478,P7820779,53369093,758607067,DE737578630327858855,PT283174,ICD10-F45.0,MED283
4111-1117-9178-8974,798,07/30,755-20-5679,D7114414,P7560286,73191373,505507024,DE685693264639944138,PT347175,ICD10-F21.8,MED655
4111-1117-9178-8974,297,01/31,595-87-9969,D6938453,P7939296,50503387,282809144,DE692446647397064041,PT746328,ICD10-F44.1,MED435
4111-2651-1810-7029,336,10/29,587-57-9675,D2152431,P6165260,10396614,625949181,DE707421626895575123,PT559099,ICD10-F88.4,MED471
4111-6806-5325-9211,140,01/33,196-70-8253,D9658424,P5148248,42973815,809400602,DE392234518183339618,PT944742,ICD10-F33.3,MED756
4111-2446-4732-2707,150,08/34,801-30-5825,D5277544,P2350728,94966444,656756168,DE588006272780575794,PT143870,ICD10-F86.3,MED144
4111-8149-4879-6005,450,04/32,497-87-5680,D5070961,P4408775,16391214,119450082,DE311754642345203364,PT109829,ICD10-F22.4,MED211
4111-5876-8660-8710,295,01/24,191-13-4299,D9046771,P6308858,22469374,842376525,DE437416592780524138,PT526946,ICD10-F87.8,MED949
4111-1356-9282-7025,910,05/32,171-11-8325,D9221958,P6223539,24773310,356404148,DE664090302233603873,PT469322,ICD10-F16.6,MED202
4111-6957-4576-3685,624,10/32,767-13-4224,D3367474,P7191542,97799821,300672096,DE616142656293308471,PT145062,ICD10-F72.1,MED959
4111-2651-1810-7029,885,05/29,123-18-7811,D3824768,P4570525,54171054,815822018,DE757651452820871495,PT735967,ICD10-F69.2,MED923
4111-4596-5056-1159,961,05/34,127-98-5319,D4992324,P8402503,80076892,451152727,DE442297185688742144,PT771270,ICD10-F84.7,MED960
4111-1039-6021-4099,732,03/32,910-48-5691,D5775299,P1226202,24397652,280169368,DE222344254037441324,PT188916,ICD10-F68.8,MED592
4111-6957-4576-3685,277,10/33,490-25-6478,D2778124,P3274066,52199228,138564955,DE924486103872582284,PT115310,ICD10-F69.4,MED409
4111-3257-6074-9806,206,07/30,645-43-9077,D3762492,P2646717,25596546,985488530,DE556164974972401766,PT411819,ICD10-F35.5,MED726
4111-5445-6548-8692,398,11/32,293-64-3941,D9516076,P7683773,52113820,625866706,DE818029140355913632,PT249249,ICD10-F97.2,MED870
4111-9166-3322-1271,354,02/27,635-30-1686,D3909185,P9768292,23071690,126676781,DE521688157612627622,PT551615,ICD10-F10.3,MED590
4111-2603-6749-1310,587,09/29,259-72-7381,D1152920,P6562640,19192615,115967405,DE575561013646137562,PT209366,ICD10-F46.3,MED734
4111-4381-4136-5566,511,02/32,115-57-9602,D4813371,P7588290,19256555,304705046,DE889030830462244319,PT337774,ICD10-F61.4,MED530
4111-8781-8994-9730,664,10/30,250-94-8456,D5063215,P5796445,26484986,676460815,DE688543999110465756,PT424143,ICD10-F79.6,MED863
4111-5876-8660-8710,278,11/29,224-58-2600,D3013193,P7742510,66937691,799120174,DE888764799098270668,PT548863,ICD10-F36.7,MED933
4111-6603-2833-4752,929,09/25,874-83-3918,D6646414,P9034381,60823994,681165239,DE594890145769424596,PT838092,ICD10-F26.3,MED791
4111-6459-5802-8028,743,03/28,690-32-5725,D1417248,P9667436,48237921,718069968,DE122401554297668817,PT785643,ICD10-F98.1,MED595
4111-1899-9398-1867,236,07/32,179-56-2268,D8081660,P3564432,90518678,828706260,DE931558459386436878,PT106719,ICD10-F28.7,MED796
4111-6171-7697-1112,916,03/25,829-20-9576,D5995712,P4127940,29273314,117118651,DE162443382525252867,PT157339,ICD10-F89.8,MED898
4111-8787-5872-3424,254,06/32,762-72-6630,D2106883,P6712209,33608877,835085829,DE847082794214818717,PT992209,ICD10-F61.8,MED210
4111-1014-9361-7678,311,06/28,430-52-9915,D7544125,P9194723,98088333,477991870,DE783570651842336869,PT328524,ICD10-F93.2,MED907
4111-5445-6548-8692,319,01/31,185-39-9198,D4131941,P4698444,18029445,479174768,DE568778373787866885,PT372501,ICD10-F96.0,MED273
4111-8473-3335-6959,837,04/28,159-88-3649,D2692202,P8004786,36381348,724766514,DE612958872566134290,PT472153,ICD10-F60.4,MED619
4111-2102-4551-9259,489,09/26,932-65-6032,D2987395,P6160707,74874245,596827390,DE425397384080796001,PT141566,ICD10-F52.5,MED463
4111-9334-8921-1972,634,09/25,418-94-6485,D8398592,P8133775,19143805,740598065,DE374351788081802920,PT211440,ICD10-F96.5,MED657
4111-9334-8921-1972,778,08/26,854-89-9121,D7565180,P7029579,23514941,717904475,DE952686361482975050,PT523324,ICD10-F95.8,MED695
4111-9637-1219-8700,589,02/27,253-31-8015,D1967758,P2032682,51607878,142040161,DE534213648150535325,PT242327,ICD10-F90.8,MED446
4111-9334-8921-1972,637,07/32,148-28-3386,D8628286,P2718693,87805113,781698090,DE575275232259523953,PT437643,ICD10-F37.5,MED365
4111-9453-7295-6776,718,10/25,408-46-8308,D3084791,P9211818,49453421,232146857,DE103891314480995931,PT576217,ICD10-F78.4,MED936
4111-5850-5736-4775,720,03/31,704-92-8632,D5692851,P3182005,66291721,968876110,DE508371149715376885,PT360687,ICD10-F26.4,MED364
4111-3257-6074-9806,924,09/31,590-33-1460,D9379268,P4762337,35072299,514631601,DE333027493169686461,PT831921,ICD10-F41.1,MED720
4111-8149-4879-6005,416,04/26,870-33-9338,D1741197,P4915295,80454461,669870464,DE109999887156056559,PT599562,ICD10-F42.2,MED210
4111-9453-7295-6776,470,08/30,625-65-5146,D8801313,P1033241,86541083,500209300,DE538454324523745936,PT348286,ICD10-F72.1,MED784
4111-4344-5008-9588,137,09/31,816-95-6780,D9086005,P8794121,46139411,513864582,DE192801499510129487,PT997415,ICD10-F18.6,MED648
4111-9166-3322-1271,170,04/25,401-43-4222,D6691457,P4180156,29205847,419628799,DE846411983638568994,PT383709,ICD10-F47.6,MED479
4111-5285-7915-3537,163,02/34,811-50-6568,D2664189,P7160173,93264341,595019477,DE435982401981238538,PT661371,ICD10-F81.1,MED266
4111-7091-3228-1162,167,06/32,954-73-6487,D2862515,P9094963,72333748,247874516,DE759684823383341401,PT140994,ICD10-F14.7,MED413
4111-3240-4745-5657,170,10/25,668-48-5642,D1111513,P7764766,38857273,328198208,DE308603059682124245,PT761348,ICD10-F70.0,MED992
4111-8374-4032-9855,166,02/34,987-63-7261,D6524142,P9151974,79974430,104613328,DE899391247087971977,PT896833,ICD10-F44.4,MED224
4111-6603-2833-4752,853,07/28,278-86-7955,D7809169,P1366598,82425682,825233788,DE803846550027483386,PT317179,ICD10-F90.4,MED852
4111-5445-6548-8692,887,09/34,726-80-1328,D4842796,P8984960,26309998,189948175,DE766963547720156213,PT683392,ICD10-F98.5,MED149
4111-2147-5077-3085,260,07/27,152-90-3081,D3272012,P2101503,41958999,441670289,DE348636769917180212,PT485834,ICD10-F79.1,MED198
4111-1267-4548-1100,358,01/32,795-82-1637,D3509944,P1212248,19720630,107890601,DE231170125955923690,PT850827,ICD10-F10.5,MED470
4111-8511-5220-8680,374,02/24,331-68-9399,D4687366,P9149047,82449952,410955682,DE959432034593721707,PT278392,ICD10-F85.2,MED141
4111-1356-9282-7025,977,03/24,683-13-7427,D4693745,P6404043,96492861,426487008,DE949319048750159966,PT783887,ICD10-F86.0,MED853
4111-6957-4576-3685,362,02/33,106-10-4018,D6977550,P6036031,20539593,399473262,DE422899107928345028,PT535606,ICD10-F35.6,MED571
4111-7504-1094-1127,488,07/34,256-62-6371,D1664099,P6435764,47089385,688948603,DE434833099988137973,PT163845,ICD10-F27.5,MED690
4111-1014-9361-7678,163,11/25,861-84-1300,D3426624,P2016541,81106625,899729127,DE109999059146870271,PT996504,ICD10-F16.6,MED272
4111-5445-6548-8692,192,05/34,560-25-9564,D4854365,P5673188,17987550,830444280,DE163133503937796940,PT127840,ICD10-F42.1,MED850
4111-5491-1983-7118,755,04/31,835-37-3004,D1746358,P9099514,29569635,345511996,DE284562605842607600,PT566418,ICD10-F81.8,MED684
4111-1136-1357-9222,338,07/30,967-36-1136,D4933791,P6251238,10327875,800909941,DE547468415813332369,PT607923,ICD10-F81.1,MED690
4111-9043-3180-5987,813,11/34,936-42-9874,D5351229,P2272715,61216433,795670833,DE823443388380028224,PT647336,ICD10-F27.6,MED501
4111-9637-1219-8700,346,02/30,850-33-2652,D4207025,P4790934,76578382,193469454,DE234367896488466976,PT248199,ICD10-F24.7,MED209
4111-2935-5746-2418,235,08/28,403-72-7731,D8907920,P3654541,13719998,476667288,DE524190951778561858,PT721055,ICD10-F31.6,MED625
4111-6252-6175-5582,994,04/33,286-68-6292,D8570594,P7858148,35310442,386269891,DE114762875915219674,PT431835,ICD10-F56.4,MED884
4111-4677-4616-3623,971,11/27,749-16-2524,D6995327,P9332236,92545305,330220370,DE618766243531825795,PT120503,ICD10-F45.8,MED142
4111-4099-3297-8226,776,04/31,110-46-5320,D5299885,P6205263,29345660,302613180,DE572411217828245088,PT555259,ICD10-F62.2,MED547
4111-3259-6121-7825,406,09/25,768-32-9450,D1935020,P3160481,56870689,410456918,DE413533649870501074,PT717450,ICD10-F35.6,MED853
4111-8374-4032-9855,541,02/33,307-23-7884,D1830579,P5138643,45217936,220092345,DE513080797216569751,PT335788,ICD10-F61.3,MED392
4111-6957-4576-3685,992,11/34,742-73-4671,D1200200,P2761693,47988776,225224131,DE987835163516239822,PT431444,ICD10-F35.2,MED486
4111-2243-7910-2229,245,08/30,287-75-2561,D1741749,P1907361,42029786,644696328,DE533672545919775285,PT251900,ICD10-F63.2,MED343
4111-6427-4254-6838,373,06/30,225-88-5287,D8777662,P5382656,48956356,536344028,DE362812524251096853,PT792430,ICD10-F49.1,MED179
4111-8374-4032-9855,640,03/32,486-14-6063,D8562827,P1741451,13820058,846548586,DE558000272876339909,PT645390,ICD10-F32.0,MED768
4111-6427-4254-6838,921,08/32,559-25-9971,D9029855,P1846018,96845956,893265625,DE254854332681950421,PT634666,ICD10-F66.1,MED506
4111-7393-4897-6843,341,01/31,861-66-2342,D2854405,P7316737,29703356,976109653,DE536318540826632663,PT930278,ICD10-F67.8,MED382
4111-8758-2042-7209,457,04/25,278-48-9216,D5351127,P7522925,34016716,696848026,DE938496628569327343,PT328125,ICD10-F13.2,MED988
4111-3240-4745-5657,563,07/34,260-49-9262,D2003949,P6019961,82562730,848390684,DE911391457701510981,PT250673,ICD10-F92.4,MED350
4111-8511-5220-8680,696,01/29,893-91-9598,D5401832,P1759097,54936912,867277331,DE252176497116905673,PT898144,ICD10-F44.3,MED978
4111-1136-1357-9222,661,06/34,956-63-5239,D1189781,P8635464,74424989,690580376,DE271820116747474495,PT210101,ICD10-F40.5,MED176
4111-7508-2498-3591,916,04/33,164-92-4275,D3592523,P7941840,60063664,947293038,DE353970253924878718,PT221022,ICD10-F97.0,MED386
4111-5059-4475-1173,789,08/28,682-64-8333,D6211124,P1432341,11616439,179966911,DE882137551767871850,PT784648,ICD10-F13.4,MED338
