card_number,cvv,expiry,ssn,drivers_license,passport,bank_account,routing_number,iban,patient_id,diagnosis_code,medication_id
4111-7475-9997-7034,626,09/34,848-43-5619,D8222414,P3800866,51608494,974750781,DE353437943710180923,PT376663,ICD10-F48.8,MED136
4111-1524-7557-9609,305,09/31,213-50-3394,D5248547,P8033801,91090741,940946196,DE611829169038630363,PT709921,ICD10-F66.5,MED662
4111-4754-3746-4999,307,09/25,472-66-6777,D9205146,P4986900,11055974,830162737,DE357085296127393242,PT347062,ICD10-F68.3,MED241
4111-3399-4936-7186,376,09/26,627-13-4911,D6186180,P5426235,58075086,692370802,DE569178473635021204,PT503964,ICD10-F18.3,MED251
4111-9841-3925-8657,564,05/25,676-25-2278,D3262615,P3368175,43683253,396669558,DE384533948300713379,PT992146,ICD10-F27.2,MED361
4111-3490-1781-6877,939,02/25,693-81-2936,D3824349,P1132166,17576331,296754217,DE679579567609436957,PT329912,ICD10-F86.1,MED588
4111-6303-7148-8904,483,11/33,504-35-3694,D6660231,P5111944,87725633,354982702,DE507258958412205994,PT195772,ICD10-F31.8,MED703
4111-4975-3468-4033,189,06/26,315-67-8226,D7767423,P4922568,62036354,588208923,DE873642328318279319,PT907039,ICD10-F53.6,MED908
4111-1237-3746-2855,197,11/30,386-42-9495,D7840915,P2385372,48270800,746263300,DE547045036082293746,PT230088,ICD10-F98.7,MED733
4111-6662-1706-6091,563,08/27,513-95-5607,D8783463,P3040316,28393015,768129582,DE599138165837065233,PT995632,ICD10-F46.0,MED649
4111-1383-2653-1671,215,05/32,293-51-1335,D2331422,P7374242,60900555,579327031,DE642853073189360169,PT307360,ICD10-F38.5,MED121
4111-2659-7427-4492,842,10/25,208-94-3716,D2859098,P3149034,60464433,711450273,DE546031501818690028,PT290303,ICD10-F20.1,MED439
4111-4150-5039-3280,478,05/32,747-56-6410,D1201587,P9889632,30104864,689106245,DE452200898144861004,PT866573,ICD10-F87.2,MED834
4111-9682-4228-4285,394,02/32,600-16-2462,D4122403,P9877626,75839231,505058321,DE988426868939712231,PT725384,ICD10-F18.2,MED846
4111-2505-3551-2529,350,02/32,309-20-9529,D3754793,P2310260,81023626,389960961,DE414574373789379433,PT551822,ICD10-F30.6,MED745
4111-7873-8641-6293,376,05/34,191-37-8864,D2175740,P8205847,98417975,991694667,DE738540847424294078,PT461515,ICD10-F34.0,MED256
4111-3037-8437-7951,664,10/30,413-84-9033,D1482734,P4012745,62122595,230140007,DE921929061412510585,PT863196,ICD10-F11.3,MED962
4111-8664-2690-4494,239,03/31,660-41-2340,D8491792,P6041784,17368694,863148653,DE464484482923022856,PT313083,ICD10-F31.5,MED524
4111-1895-5328-5243,642,03/25,966-35-7487,D5954891,P6691097,78009110,215219020,DE515166034727713278,PT770448,ICD10-F37.5,MED892
4111-7435-5224-2986,703,05/26,820-91-5864,D2028512,P7684507,92318195,557450393,DE836536033345741253,PT529489,ICD10-F21.4,MED123
4111-5076-1303-3669,191,03/26,494-92-2803,D9687004,P2865423,53468169,999107811,DE708099420388760249,PT177920,ICD10-F98.8,MED907
4111-8571-5041-8445,954,11/32,532-50-5122,D2081442,P5410878,78505872,982094965,DE973499001582673461,PT221621,ICD10-F41.3,MED396
4111-6207-6267-6072,328,02/31,372-47-6508,D7289111,P8870039,67403620,222888744,DE684160111037097251,PT108810,ICD10-F39.2,MED151
4111-7568-6336-1245,698,01/31,905-81-1996,D1597481,P3382269,69299736,754755709,DE799707420291232469,PT196696,ICD10-F56.6,MED514
